date,SX5T Index
2004-06-03,3716.27
2004-06-04,3758.58
2004-06-07,3801.96
2004-06-08,3802.7
2004-06-09,3785.09
2004-06-10,3802.45
2004-06-11,3800.7
2004-06-14,3749.37
2004-06-15,3786.43
2004-06-16,3815.61
2004-06-17,3815.62
2004-06-18,3835.87
2004-06-21,3833.91
2004-06-22,3787.46
2004-06-23,3802.7
2004-06-24,3842.62
2004-06-25,3837.85
2004-06-28,3866.69
2004-06-29,3851.1
2004-06-30,3827.27
2004-07-01,3823.31
2004-07-02,3792.49
2004-07-05,3793.75
2004-07-06,3766.47
2004-07-07,3765.68
2004-07-08,3782.81
2004-07-09,3781.94
2004-07-12,3760.75
2004-07-13,3764.95
2004-07-14,3753.47
2004-07-15,3700.14
2004-07-16,3696.92
2004-07-19,3675.69
2004-07-20,3689.96
