date,SX5T Index,macd_12_26
2001-10-08,4294.99,-93.56493589743604
2001-10-09,4299.73,-25.908717948717822
2001-10-10,4442.79,30.06692307692265
2001-10-11,4496.89,80.6054487179481
2001-10-12,4481.65,119.7827564102572
2001-10-15,4347.1,143.70442307692338
2001-10-16,4426.08,159.9418589743591
2001-10-17,4524.06,179.14929487179415
2001-10-18,4429.45,190.0362820512819
2001-10-19,4364.16,199.68429487179492
2001-10-22,4458.09,189.68173076923085
2001-10-23,4586.49,196.02499999999964
2001-10-24,4623.83,202.7279487179485
2001-10-25,4513.39,199.9025641025646
2001-10-26,4626.69,183.48141025640962
2001-10-29,4518.66,153.25788461538468
2001-10-30,4374.13,127.19711538461524
2001-10-31,4456.79,117.42217948718007
2001-11-01,4495.64,105.76076923076835
2001-11-02,4488.33,87.72980769230708
2001-11-05,4621.21,88.36711538461532
2001-11-06,4599.67,89.12641025641005
2001-11-07,4655.23,87.35589743589753
2001-11-08,4771.68,80.07878205128236
2001-11-09,4697.17,72.75506410256367
2001-11-12,4571.31,66.68826923076904
2001-11-13,4764.06,60.09461538461619
2001-11-14,4751.74,62.13294871794824
2001-11-15,4745.95,81.45794871794897
2001-11-16,4796.68,98.25173076923056
2001-11-19,4863.67,114.22782051282047
2001-11-20,4801.58,122.85198717948697
2001-11-21,4779.51,122.4501923076923
2001-11-22,4831.08,129.92589743589815
2001-11-23,4833.52,129.24224358974334
2001-11-26,4809.62,115.27083333333303
2001-11-27,4716.73,106.95314102564134
2001-11-28,4653.58,111.22858974358951
2001-11-29,4650.51,100.73993589743623
2001-11-30,4687.54,88.69185897435909
2001-12-03,4671.31,80.75570512820559
2001-12-04,4728.62,67.00865384615372
2001-12-05,4897.19,49.68429487179492
2001-12-06,4906.11,41.11358974359064
2001-12-07,4860.1,33.81173076923096
2001-12-10,4767.0,17.75365384615452
2001-12-11,4798.21,8.003461538462034
2001-12-12,4731.37,-3.5827564102564793
2001-12-13,4622.28,-10.186282051282433
2001-12-14,4572.92,-9.263333333332412
2001-12-17,4731.96,-3.813910256410054
2001-12-18,4716.2,-6.998269230769438
2001-12-19,4678.99,-3.086346153845625
2001-12-20,4635.37,-6.381410256411073
2001-12-21,4736.56,-19.40608974358929
2001-12-24,4737.25,-31.191987179487114
2001-12-27,4841.57,-31.88615384615332
2001-12-28,4877.12,-25.61487179487176
2002-01-02,4812.9,-25.674935897435716
2002-01-03,4912.26,-13.723076923077315
2002-01-04,4896.01,6.684294871794918
2002-01-07,4811.43,26.490512820512777
2002-01-08,4772.5,27.723846153846353
2002-01-09,4771.15,27.78108974358929
2002-01-10,4699.18,27.59166666666715
2002-01-11,4738.45,34.22358974359031
2002-01-14,4599.82,25.5782051282049
2002-01-15,4662.23,21.88000000000011
2002-01-16,4584.56,12.486730769230235
2002-01-17,4677.91,4.662820512820872
2002-01-18,4666.55,-0.08878205128166883
2002-01-21,4618.72,-18.847371794871833
2002-01-22,4634.93,-34.324038461538294
2002-01-23,4678.77,-43.35596153846109
2002-01-24,4757.42,-49.81032051282
2002-01-25,4746.08,-58.559487179486496
2002-01-28,4795.51,-52.97621794871702
2002-01-29,4724.74,-54.44717948717971
2002-01-30,4655.6,-48.89923076923151
